score,company_jp,company_en
63,東京汽船,Tokyo Kisen
63,澁澤倉庫,Shibusawa Warehouse
63,安田倉庫,Yasuda Logistics
63,王子製紙,Oji Paper
63,レンゴー,Rengo
63,日本板硝子,Nippon Sheet Glass
63,デンカ↓,Denka↓
63,東京製鐵,Tokyo Steel
63,理想科学工業,Riso Kagaku
63,日立Astemo,Hitachi Astemo
63,トヨタ紡織↑,Toyota Boshoku↑
63,小糸製作所,Koito Manufacturing
63,パイオニア,Pioneer
63,パイロットコーポレーション,Pilot Corporation
63,日本TCS,Nippon TCS
63,プリマハム,Prima Meat Packers
63,ニチレイ,Nichirei
63,前田建設工業,Maeda Corporation
63,日本道路,Nippon Road
63,アスクル,ASKUL
63,ZOZO,ZOZO
63,新光電気工業,Shinko Electric Industries
63,クミアイ化学工業↓,Kumiai Chemical Industry↓
63,エアウォーター↓,Air Water↓
63,ミライト・ワン,MIRAIT ONE
63,マクロミル,Macromill
63,クックパッド,Cookpad
63,MSOL,MSOL
63,セガサミー,Sega Sammy
63,コナミ,Konami
63,ミクシィ,mixi
62,シャープ,Sharp
62,ニデック,Nidec
62,三菱ふそう,Mitsubishi Fuso
62,UDトラックス,UD Trucks
62,古河電工,Furukawa Electric
62,UACJ,UACJ
62,アマダ,Amada
62,大同特殊鋼,Daido Steel
62,アマノ↓,Amano↓
62,信越ポリマー,Shin-Etsu Polymer
62,共英製鋼,Kyoei Steel
62,日本冶金工業,Nippon Yakin Kogyo
62,ミネベアミツミ,MinebeaMitsumi
62,セイコーグループ,Seiko Group
62,富士通ゼネラル,Fujitsu General
62,マキタ,Makita
62,ダイヘン,Daihen
62,シンフォニアテクノロジー,Sinfonia Technology
62,三浦工業↓,Miura Co.↓
62,太平洋セメント,Taiheiyo Cement
62,山陽特殊製鋼,Sanyo Special Steel
62,NX日本通運,Nippon Express
62,NOK,NOK
62,アルプスアルパイン,Alps Alpine
62,住友大阪セメント,Sumitomo Osaka Cement
62,SUMCO,SUMCO
